web-scraper-order,web-scraper-start-url,champion,champion-href,Counters,Countered
"1515286521-1117","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nidalee","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nidalee/","Graves",""
"1515286127-335","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Veigar","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Veigar/","","Blitzcrank"
"1515286081-205","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Wukong","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/MonkeyKing/","Gnar",""
"1515286631-1394","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Leona","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Leona/","Blitzcrank",""
"1515286695-1566","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kayle","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Kayle/","","Ahri"
"1515286509-1082","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nunu","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nunu/","Amumu",""
"1515286840-1810","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Illaoi","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Illaoi/","","Kayle"
"1515286328-720","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Sivir","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Sivir/","","Jinx"
"1515286305-659","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Soraka","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Soraka/","","Nami"
"1515286061-132","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Yasuo","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Yasuo/","Kassadin",""
"1515286055-120","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Yorick","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Yorick/","","Tryndamere"
"1515286358-790","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Shen","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Shen/","","Teemo"
"1515286985-2238","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Caitlyn","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Caitlyn/","Tristana",""
"1515286695-1552","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kayle","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Kayle/","DrMundo",""
"1515286358-786","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Shen","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Shen/","","Janna"
"1515286674-1497","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kha'Zix","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Khazix/","Ezreal",""
"1515286482-1016","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Pantheon","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Pantheon/","Jax",""
"1515286253-549","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Taric","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Taric/","Zyra",""
"1515286140-365","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Varus","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Varus/","Jhin",""
"1515286857-1841","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Hecarim","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Hecarim/","Pantheon",""
"1515287063-2419","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Amumu","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Amumu/","Vi",""
"1515287099-2487","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Aatrox","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Aatrox/","MasterYi",""
"1515286013-9","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Zyra","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Zyra/","Teemo",""
"1515286940-2089","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Draven","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Draven/","Lucian",""
"1515286721-1636","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Karma","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Karma/","","Nautilus"
"1515286546-1202","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Morgana","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Morgana/","","Blitzcrank"
"1515286081-202","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Wukong","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/MonkeyKing/","Zed",""
"1515286733-1672","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Jinx","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Jinx/","","Ashe"
"1515286582-1284","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Malzahar","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Malzahar/","Galio",""
"1515286013-3","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Zyra","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Zyra/","Zoe",""
"1515286702-1583","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Katarina","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Katarina/","","Diana"
"1515286615-1354","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Lucian","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Lucian/","Varus",""
"1515286400-892","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Rengar","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Rengar/","","Udyr"
